title,release_date,type,runtime,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,imdb_id
극장판 쿠로코의 농구 윈터컵 총집편 - 그림자와 빛,2016-09-03,movie,90,"애니메이션, 코미디",,,,,Production I.G,,"sports, basketball, compilation, based on manga, shounen, anime",,,tt6597832
Come Out Fighting,2016-03-03,movie,99,"드라마, 범죄",,,,,,,,,,tt4180290
Union Time: Fighting for Workers’ Rights,2016-04-28,movie,86,,,,,,,,,,,
Le Voyageur,2016-09-26,movie,86,SF,,,,,BMC Films,,resurrection,,,tt5198842
레고 DC 코믹스 슈퍼 히어로: 저스티스 리그 - 고담시티 브레이크아웃,2016-06-21,movie,78,"애니메이션, 가족, 모험, 액션, 코미디",,,,,Warner Bros. Animation,,"super power, lego",,,tt5612702
Special Blood,2016-01-01,movie,60,다큐멘터리,,,,,,,,,,tt3503726
Preternatural,2016-05-29,movie,75,"미스터리, 공포, 코미디",,,,,Deadbolt Films,,"mockumentary, found footage",,,tt4654772
비밀은 없다,2016-06-23,movie,102,"스릴러, 드라마",,,,,Film Train,,"election campaign, blackmail, hit-and-run, revenge, disappearance, woman director, father daughter relationship, mother daughter relationship, political, girls love, elections",,,tt5768474
Names on the Wall,2016-09-09,movie,22,"액션, 모험",,,,,Space Dream Productions,,"woman director, short film",,,tt5984728
키아누,2016-04-29,movie,98,"액션, 코미디, 범죄",,,,,New Line Cinema,,"hitman, gangster, strip club, kitten, buddy comedy, aftercreditsstinger, duringcreditsstinger, gun fight, stolen pet, designer drug",,,tt4139124
좋아하게 되는 그 순간을. ~고백실행위원회~,2016-12-17,movie,63,"드라마, 애니메이션, 로맨스, 코미디",,,,,Qualia Animation,,"based on novel or book, sequel, school, anime",,,tt6327570
아이.티.,2016-09-09,movie,96,스릴러,,,,,Fastnet Films,,"computer, technology, shower, stalker, car crash, aviation, internet, billionaire, storm, surveillance, masturbation, voyeurism, information technology, home automation, smart home",,,tt2679552
Best. Partee. Ever.,2016-10-15,movie,120,드라마,,,,,,,"philippines, boys' love (bl)",,,tt6166804
Killing Ed,2016-03-25,movie,97,다큐멘터리,,,,,,,,,,tt4945466
Christmas with Cookie,2016-11-01,movie,53,,,,,,,,,,,tt5295412
애가 무슨 죄야,2016-05-13,movie,113,"코미디, 로맨스",,,,,Adicta Films,,"one-night stand, birth, unlikely lovers, duringcreditsstinger, unplanned pregnancy",,,tt5538800
내 사랑,2016-06-16,movie,115,"드라마, 로맨스",,,,,Landscape Entertainment,,"canada, nova scotia, canada, romance, art, disability, woman director, bitter, empathetic, sympathetic",,,tt3721954
마더스 데이,2016-04-28,movie,118,"코미디, 드라마, 로맨스",,,,,Rice Films,,"holiday, female friendship, remarriage, interracial marriage, single mother, divorcee, widower, single father, biological mother, parents, ex-husband ex-wife relationship, boyfriend girlfriend relationship, mother's day, motherhood, difficult parents, kids, death of wife, outtakes, atlanta, georgia, intersecting lives, mother daughter relationship, sister sister relationship, loss of mother, relationships, birth mother, lesbian couple, surprise visit",,,tt4824302
미스터 라잇,2016-02-29,movie,95,"코미디, 로맨스, 범죄",,,,,Circle of Confusion,,"hitman, romcom",,,tt2091935
대지진,2016-12-01,movie,101,드라마,,,,,National Cinema Centre of Armenia,,"soviet union, earthquake, armenia, catastrophe, mass destruction",,,tt5270810
할로윈 위치,2016-11-03,movie,80,공포,,,,,Restless Studios,,"witch, halloween",,,tt6186362
